1,HG,Quelle est la capitale des Etats-Unis?,Washington DC,New York,Los Angeles,San Francisco
2,HG,En quelle année Charlemagne fut il sacré empereur?,800,750,900,1000
3,HG,Quel était  jusqu'en 1972 l'ancien nom du Sri Lanka ?,Ceylan,Tambapanni,Myanmar,Lankris
1,NS,Dans quel galaxie se trouve le systeme solaire?,Voie lactée,Andromede,Cigare,Tetard
2,NS,Combien vaut 6 fois 7?,42,38,54,81
3,NS,Lequel de ces satellites n'appartient PAS à Saturne?,IO,Titan,Impérius,Rhéa
1,SL,Quelle est la durée réglementaire d'un match de football?,90 minutes,60 minutes,45 minutes,120 minutes
2,SL,Combien de trous comporte un grand parcours standard de Golf?,18,11,16,27
3,SL,De quelle nationalité est le joueur Luka Modric?,Croate,Serbe,Allemande,Turque
1,CS,Qui est l'acteur principal de la saga cinématographique Mission Impossible?,Tom Cruise,Bruce Willis,Pierce Brosnan,Sean Connery
2,CS,Dans la série Stranger Things quel est le prénom de la mystérieuse jeune fille possédant des pouvoirs surnaturels?,Eleven,Six,Seven,Ninety
3,CS,Dans Star Wars quel seigneur Sith est en réalité le sénateur Palpatine?,Dark Sidious,Dark Maul,Dark Vador,Dark Tyranus
1,JV,Quel est la couleur du pokémon emblématique de la série Pokemon  Pikachu?,Jaune,Rouge,Vert,Violet
2,JV,Combien de volets la Saga God of War comporte-t-elle ?,4,3,2,5
3,JV,Quel est le nom de code du tueur a gage incarné dans la saga Hitman?,Agent 47,Agent 007 ,Agent 18,Agent 0
1,MU,Combien de cordes comporte une guitare standard?,6,4,8,3
2,MU,Qui est le chanteur du groupe Rolling Stones?,Mick Jagger,Axel Rose,Sting,Iggy Pop
3,MU,"Dans quel album des Pink Floyd se trouve la chanson ""Summer '68""?",Atom Heart Mother,The Wall,Animals,Meddle
